"CORUBRICA","NORUBRICA"
"1714","Transferências de Recursos do Fundo Nacional do Desenvolvimento da Edu"
"1715","Transferências de Recursos de Complementação da União ao Fundo de Manu"
"1716","Transferências de Recursos do Fundo Nacional de Assistência Social    "
"1717","Transferências de Convênios da União e de Suas Entidades              "
"1719","Outras Transferências de Recursos da União e de suas Entidades        "
"1720","Transferências dos Estados e do Distrito Federal e de suas Entidades  "
"1721","Participação na Receita dos Estados e Distrito Federal                "
"1722","Transferências das Compensações Financeiras pela Exploração de Recurso"
"1723","Transferências de Recursos do Sistema Único de Saúde ¿ SUS            "
"1724","Transferência de Convênios dos Estados e do Distrito Federal e de Suas"
"1729","Outras Transferências dos Estados e Distrito Federal                  "
"1730","Transferências dos Municípios e de suas Entidades                     "
"1731","Transferências de Recursos do Sistema Único de Saúde - SUS            "
"1732","Transferências de Convênios dos Municípios e de Suas Entidades        "
"1739","Outras Transferências dos Municípios                                  "
"1740","Transferências de Instituições Privadas                               "
"1741","Transferências de Instituições Privadas                               "
"1750","Transferências de Outras Instituições Públicas                        "
"1751","Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da"
"1759","Demais Transferências de Outras Instituições Públicasda               "
"1760","Transferências do Exterior                                            "
"1761","Transferências do Exterior                                            "
"1790","Demais Transferências Correntes                                       "
"1791","Transferências de Pessoas Físicas                                     "
"1792","Transferências Provenientes de Depósitos Não Identificados            "
"1799","Outras Transferências Correntes                                       "
"1900","Outras Receitas Correntes                                             "
"1910","Multas Administrativas, Contratuais e Judiciais                       "
"1911","Multas Administrativas, Contratuais e Judiciais                       "
"1920","Indenizações, Restituições e Ressarcimentos                           "
"1921","Indenizações                                                          "
"1922","Restituições                                                          "
"1923","Ressarcimentos                                                        "
"1930","Bens, Direitos e Valores Incorporados ao Patrimônio Público           "
"1931","Bens, Direitos e Valores Incorporados ao Patrimônio Público           "
"1940","Multas e Juros de Mora das Receitas de Capital                        "
"1941","Multas e Juros de Mora das Alienações de Bens Móveis                  "
"1942","Multas e Juros de Mora das Alienações de Bens Imóveis                 "
"1943","Multas e Juros de Mora das Alienações de Bens Intangíveis             "
"1944","Multas e Juros de Mora das Amortizações de Empréstimos                "
"1949","Multas e Juros de Mora de Outras Receitas de Capital                  "
"1990","Demais Receitas Correntes                                             "
"1999","Outras Receitas Correntes                                             "
"2000","Receitas de Capital                                                   "
"2100","Operações de Crédito                                                  "
"2110","Operações de Crédito - Mercado Interno                                "
"2112","Operações de Crédito Contratuais - Mercado Interno                    "
"2118","Empréstimos Compulsórios                                              "
"2119","Outras Operações de Crédito - Mercado Interno                         "
"2120","Operações de Crédito - Mercado Externo                                "
"2122","Operações de Crédito Contratuais - Mercado Externo                    "
"2129","Outras Operações de Crédito - Mercado Externo                         "
"2200","Alienação de Bens                                                     "
"2210","Alienação de Bens Móveis                                              "
"2211","Alienação de Títulos, Valores Mobiliários e Aplicações Congêneres     "
"2212","Alienação de Estoques                                                 "
"2213","Alienação de Bens Móveis e Semoventes                                 "
"2220","Alienação de Bens Imóveis                                             "
"2221","Alienação de Bens Imóveis                                             "
"2230","Alienação de Bens Intangíveis                                         "
"2231","Alienação de Bens Intangíveis                                         "
"2300","Amortização de Empréstimos                                            "
"2310","Amortização de Empréstimos                                            "
"2311","Amortização de Empréstimos                                            "
"2400","Transferências de Capital                                             "
"2410","Transferências da União e de suas Entidades                           "
"2411","Transferências de Recursos do Sistema Único de Saúde - SUS            "
"2412","Transferências de Recursos do Fundo Nacional do Desenvolvimento da Edu"
"2413","Transferências de Recursos do Fundo Nacional de Assistência Social ¿ F"
"2414","Transferências de Convênios da União e de suas Entidades              "
"2419","Outras Transferências de Recursos da União e de suas Entidades        "
"2420","Transferências dos Estados e do Distrito Federal e de suas Entidades  "
"2421","Transferências de Recursos do Sistema Único de Saúde - SUS dos Estados"
"2422","Transferências de Convênios dos Estados e DF e de Suas Entidades      "
"2429","Outras Transferências de Recursos dos Estados                         "
"2430","Transferências dos Municípios e de suas Entidades                     "
"2432","Transferências de Convênios dos Municípios e de Suas Entidades        "
"2439","Outras Transferências dos Municípios                                  "
"2440","Transferências de Instituições Privadas                               "
"2441","Transferências de Instituições Privadas                               "
"2450","Transferências de Outras Instituições Públicas                        "
"2451","Transferências de Outras Instituições Públicas                        "
"2460","Transferências do Exterior                                            "
"2461","Transferências do Exterior                                            "
"2490","Demais Transferências de Capital                                      "
"2491","Transferências de Pessoas Físicas                                     "
"2492","Transferências Provenientes de Depósitos Não Identificados            "
"2499","Outras Transferências de Capital                                      "
"2900","Outras Receitas de Capital                                            "
"2910","Integralização de Capital Social                                      "
"2911","Integralização de Capital Social                                      "
"2930","Remuneração das Disponibilidades do Tesouro                           "
"2931","Remuneração das Disponibilidades do Tesouro                           "
"2940","Resgate de Títulos do Tesouro                                         "
"2941","Resgate de Títulos do Tesouro                                         "
"2990","Demais Receitas de Capital                                            "
"2999","Outras Receitas de Capital                                            "
"7000","Receitas Correntes Intra Orçamentária                                 "
"7100","Impostos, Taxas e Contribuições de Melhoria - Intra                   "
"7110","Impostos Intra                                                        "
"7112","Impostos sobre o Patrimônio                                           "
"7113","Impostos sobre a Renda e Proventos de Qualquer Natureza               "
"7114","Impostos sobre a Produção, Circulação de Mercadorias e Serviços       "
"7120","Taxas                                                                 "
"7121","Taxas pelo Exercício do Poder de Polícia                              "
"7122","Taxas pela Prestação de Serviços                                      "
"7200","Contribuições                                                         "
"7210","Contribuições Sociais                                                 "
"7215","Contribuições para  Regimes Próprios de Previdência e Sistema de Prote"
"7300","Receita Patrimonial                                                   "
"7310","Exploração do Patrimônio Imobiliário do Estado                        "
"7311","Exploração do Patrimônio Imobiliário do Estado                        "
"7321","Juros e Correções Monetárias                                          "
"7600","Receita de Serviços                                                   "
"7610","Serviços Administrativos e Comerciais Gerais                          "
"7611","Serviços Administrativos e Comerciais Gerais                          "
"7620","Serviços e Atividades Referentes à Navegação e ao Transporte          "
"7621","Serviços e Atividades Referentes à Navegação e ao Transporte          "
"7630","Serviços e Atividades Referentes à Saúde                              "
"7632","Serviços de Assistência à Saúde de Servidores Civis e Militares       "
"7690","Outros Serviços                                                       "
"7699","Outros Serviços                                                       "
"7700","Transferências Correntes Intra Orçamentária                           "
"7720","Transferências dos Estados e do Distrito Federal e de suas Entidades  "
"7724","Transferências de Convênios dos Estados e DF e de Suas Entidades      "
"7729","Outras Transferências dos Estados e Distrito Federal                  "
"7900","Outras Receitas Correntes                                             "
"7910","Multas Administrativas, Contratuais e Judiciais                       "
"7911","Multas Administrativas, Contratuais e Judiciais                       "
"7920","Indenizações, Restituições e Ressarcimentos                           "
"7922","Restituições                                                          "
"7923","Ressarcimentos                                                        "
"7990","Demais Receitas Correntes                                             "
"7999","Outras Receitas Correntes                                             "
"9000","Recursos Arrecadados em Exercícios Anteriores                         "
"9900","Recursos Arrecadados em Exercícios Anteriores                         "
"9990","Recursos Arrecadados em Exercícios Anteriores                         "
